,map_link,vod_link,team_names,comp_mappings
0,https://www.vlr.gg/184456/zeta-division-vs-drx-champions-tour-2023-pacific-league-w1/?game=119512&tab=overview,https://www.youtube.com/live/v7Q_gWdhx0M?feature=share&t=8441,"['ZETA DIVISION', 'DRX']","[('Laz', 'Sova'), ('TENNN', 'Killjoy'), ('Dep', 'Jett'), ('crow', 'Kayo'), ('SugarZ3ro', 'Omen'), ('MaKo', 'Omen'), ('Foxy9', 'Jett'), ('stax', 'Kayo'), ('Zest', 'Sova'), ('Rb', 'Killjoy')]"
0,https://www.vlr.gg/184456/zeta-division-vs-drx-champions-tour-2023-pacific-league-w1/?game=119513&tab=overview,https://www.youtube.com/live/v7Q_gWdhx0M?feature=share&t=4194,"['ZETA DIVISION', 'DRX']","[('SugarZ3ro', 'Viper'), ('Dep', 'Jett'), ('Laz', 'Skye'), ('crow', 'Harbor'), ('TENNN', 'Killjoy'), ('MaKo', 'Viper'), ('stax', 'Kayo'), ('Zest', 'Fade'), ('Rb', 'Harbor'), ('Foxy9', 'Jett')]"
0,https://www.vlr.gg/184457/t1-vs-global-esports-champions-tour-2023-pacific-league-w1/?game=119515&tab=overview,https://www.youtube.com/live/v7Q_gWdhx0M?feature=share&t=26667,"['T1', 'Global Esports']","[('Munchkin', 'Killjoy'), ('Carpe', 'Skye'), ('xeta', 'Harbor'), ('iNTRO', 'Viper'), ('Sayaplayer', 'Jett'), ('Bazzi', 'Fade'), ('AYRIN', 'Killjoy'), ('t3xture', 'Jett'), ('WRONSKI', 'Kayo'), ('Monyet', 'Astra')]"
0,https://www.vlr.gg/184457/t1-vs-global-esports-champions-tour-2023-pacific-league-w1/?game=119516&tab=overview,https://www.youtube.com/live/v7Q_gWdhx0M?feature=share&t=23285,"['T1', 'Global Esports']","[('xeta', 'Sova'), ('Sayaplayer', 'Jett'), ('ban', 'Omen'), ('Munchkin', 'Killjoy'), ('Carpe', 'Breach'), ('Bazzi', 'Skye'), ('t3xture', 'Jett'), ('AYRIN', 'Killjoy'), ('WRONSKI', 'Kayo'), ('Monyet', 'Omen')]"
0,https://www.vlr.gg/184457/t1-vs-global-esports-champions-tour-2023-pacific-league-w1/?game=119517&tab=overview,https://www.youtube.com/live/v7Q_gWdhx0M?feature=share&t=14928,"['T1', 'Global Esports']","[('xeta', 'Harbor'), ('Munchkin', 'Killjoy'), ('ban', 'Viper'), ('Sayaplayer', 'Jett'), ('Carpe', 'Skye'), ('Monyet', 'Omen'), ('Bazzi', 'Breach'), ('WRONSKI', 'Jett'), ('t3xture', 'Raze'), ('AYRIN', 'Killjoy')]"
0,https://www.vlr.gg/184458/paper-rex-vs-detonation-focusme-champions-tour-2023-pacific-league-w1/?game=119518&tab=overview,https://www.youtube.com/live/uFOBDRzbLtM?feature=share&t=7806,"['Paper Rex', 'DetonatioN FocusMe']","[('Jinggg', 'Phoenix'), ('Benkai', 'Killjoy'), ('f0rsakeN', 'Jett'), ('d4v41', 'Skye'), ('mindfreak', 'Astra'), ('Suggest', 'Jett'), ('takej', 'Viper'), ('Reita', 'Killjoy'), ('Anthem', 'Skye'), ('xnfri', 'Harbor')]"
0,https://www.vlr.gg/184458/paper-rex-vs-detonation-focusme-champions-tour-2023-pacific-league-w1/?game=119519&tab=overview,https://www.youtube.com/live/uFOBDRzbLtM?feature=share&t=4205,"['Paper Rex', 'DetonatioN FocusMe']","[('d4v41', 'Skye'), ('Benkai', 'Killjoy'), ('Jinggg', 'Raze'), ('mindfreak', 'Astra'), ('f0rsakeN', 'Yoru'), ('Reita', 'Cypher'), ('Suggest', 'Raze'), ('Anthem', 'Skye'), ('xnfri', 'Omen'), ('takej', 'Viper')]"
0,https://www.vlr.gg/184459/team-secret-vs-talon-esports-champions-tour-2023-pacific-league-w1/?game=119521&tab=overview,https://www.youtube.com/live/uFOBDRzbLtM?feature=share&t=21307,"['Team Secret', 'Talon Esports']","[('invy', 'Kayo'), ('BORKUM', 'Omen'), ('Jremy', 'Killjoy'), ('DubsteP', 'Jett'), ('JessieVash', 'Sova'), ('JitBoyS', 'Kayo'), ('Patt', 'Sage'), ('garnetS', 'Jett'), ('foxz', 'Fade'), ('Crws', 'Astra')]"
0,https://www.vlr.gg/184459/team-secret-vs-talon-esports-champions-tour-2023-pacific-league-w1/?game=119522&tab=overview,https://www.youtube.com/live/uFOBDRzbLtM?feature=share&t=17727,"['Team Secret', 'Talon Esports']","[('invy', 'Kayo'), ('Jremy', 'Sage'), ('DubsteP', 'Killjoy'), ('JessieVash', 'Sova'), ('BORKUM', 'Viper'), ('Crws', 'Viper'), ('Sushiboys', 'Killjoy'), ('foxz', 'Sova'), ('garnetS', 'Jett'), ('Patt', 'Harbor')]"
0,https://www.vlr.gg/184459/team-secret-vs-talon-esports-champions-tour-2023-pacific-league-w1/?game=119523&tab=overview,https://www.youtube.com/live/uFOBDRzbLtM?feature=share&t=14373,"['Team Secret', 'Talon Esports']","[('BORKUM', 'Brimstone'), ('JessieVash', 'Fade'), ('invy', 'Breach'), ('DubsteP', 'Cypher'), ('Jremy', 'Raze'), ('JitBoyS', 'Breach'), ('Sushiboys', 'Killjoy'), ('foxz', 'Kayo'), ('garnetS', 'Neon'), ('Crws', 'Brimstone')]"
